Unit_Name,Designation,State,Region,NPS_Fee_Acres,NPS_Less_Than_Fee_Acres,Other_Federal_Fee_Acres,Subtotal_Federal_Acres,Other_Public_Acres,Private_Acres,Subtotal_Non_Federal_Acres,Gross_Area_Acres
FT MCHENRY NM,National Monument,MD,Northeast,43.26,0.0,0.0,43.26,0.0,0.0,0.0,43.26
FT MATANZAS NM,National Monument,FL,Southeast,298.51,0.0,0.0,298.51,0.0,1.6,1.6,300.11
FT RALEIGH NHS,National Historic Site,NC,Southeast,355.45,0.0,0.0,355.45,18.09,139.39,157.48,512.93
FT UNION NM,National Monument,NM,Intermountain,720.6,0.0,0.0,720.6,0.0,0.0,0.0,720.6
FT SMITH NHS,National Historic Site,AR-OK,Midwest,31.75,0.41,5.8,37.96,1.44,35.6,37.04,75.0
FT SCOTT NHS,National Historic Site,KS,Midwest,16.69,0.0,0.0,16.69,0.0,0.0,0.0,16.69
FT SUMTER NM,National Monument,SC,Southeast,164.6,61.06,4.97,230.63,4.11,0.0,4.11,234.74
FT STANWIX NM,National Monument,NY,Northeast,15.52,0.0,0.0,15.52,0.0,0.0,0.0,15.52
FLORISSANT FOSSIL BEDS NM,National Monument,CO,Intermountain,5992.32,0.0,0.0,5992.32,5.77,0.0,5.77,5998.09
FLIGHT 93 NATIONAL MEMORIAL,Memorial,PA,Northeast,1641.41,0.0,0.0,1641.41,0.0,677.95,677.95,2319.36
FOSSIL BUTTE NM,National Monument,WY,Intermountain,8198.0,0.0,0.0,8198.0,0.0,0.0,0.0,8198.0
FORDS THEATRE NHS,National Historic Site,DC,National Capital,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.3
FIRE ISLAND NS,National Seashore,NY,Northeast,3090.44,3151.51,0.0,6241.95,12422.73,915.74,13338.47,19580.42
FT LARAMIE NHS,National Historic Site,WY,Intermountain,871.78,0.0,0.0,871.78,0.0,1.33,1.33,873.11
FIRST STATE NHP,National Historical Park,DE-PA,Northeast,1105.13,5.54,0.0,1110.67,2.47,41.9,44.37,1155.04
FIRST LADIES NHS,National Historic Site,OH,Midwest,0.46,0.0,0.0,0.46,0.0,0.0,0.0,0.46
